id,seq,timestamp,lat,lng,alt,speed_kmh,heading,hdop,satellites,battery_mv,rssi
G0703-CHEATER,1,1779504320,25.835094,122.01502,15.0,69.1,180.0,0.9,11,3950,-80
G0703-CHEATER,2,1779504380,25.806617,122.00376,45.0,68.3,180.0,0.9,11,3950,-80
G0703-CHEATER,3,1779504440,25.77823,121.992987,75.0,75.3,180.0,0.9,11,3950,-80
G0703-CHEATER,4,1779504500,25.749834,121.980503,105.0,71.6,180.0,0.9,11,3950,-80
G0703-CHEATER,5,1779504560,25.721571,121.970929,154.5,76.6,180.0,0.9,11,3950,-80
G0703-CHEATER,6,1779504620,25.692737,121.958799,160.7,67.9,180.0,0.9,11,3950,-80
G0703-CHEATER,7,1779504680,25.665714,121.947663,159.4,70.2,180.0,0.9,11,3950,-80
G0703-CHEATER,8,1779504740,25.637905,121.93731,161.1,70.7,180.0,0.9,11,3950,-80
G0703-CHEATER,9,1779504800,25.608305,121.925841,155.4,73.1,180.0,0.9,11,3950,-80
G0703-CHEATER,10,1779504860,25.580216,121.914838,159.5,78.0,180.0,0.9,11,3950,-80
G0703-CHEATER,11,1779504920,25.552153,121.90502,199.2,67.6,180.0,0.9,11,3950,-80
G0703-CHEATER,12,1779504980,25.524474,121.892559,182.0,66.9,180.0,0.9,11,3950,-80
G0703-CHEATER,13,1779505040,25.494929,121.881297,222.4,65.3,180.0,0.9,11,3950,-80
G0703-CHEATER,14,1779505100,25.467543,121.871506,161.3,68.7,180.0,0.9,11,3950,-80
G0703-CHEATER,15,1779505160,25.43969,121.859803,211.6,77.1,180.0,0.9,11,3950,-80
G0703-CHEATER,16,1779505220,25.411549,121.848398,243.8,67.0,180.0,0.9,11,3950,-80
G0703-CHEATER,17,1779505280,25.382875,121.83752,188.7,76.5,180.0,0.9,11,3950,-80
G0703-CHEATER,18,1779505340,25.35353,121.826338,181.2,77.8,180.0,0.9,11,3950,-80
G0703-CHEATER,19,1779505400,25.326922,121.81631,199.7,74.4,180.0,0.9,11,3950,-80
