id,seq,timestamp,lat,lng,alt,speed_kmh,heading,hdop,satellites,battery_mv,rssi
G0703-FAULT,1,1779564979,25.829051,122.005942,317.4,61.5,220.0,0.9,12,4050,-78
G0703-FAULT,2,1779565039,25.823492,121.997409,173.8,70.5,234.1,0.9,12,4048,-78
G0703-FAULT,3,1779565099,25.81682,121.989558,166.5,68.7,226.7,0.9,12,4047,-78
G0703-FAULT,4,1779565159,25.808944,121.982442,258.6,78.6,219.1,0.9,12,4046,-78
G0703-FAULT,5,1779565219,25.80039,121.97574,202.0,69.7,215.2,0.9,12,4045,-78
G0703-FAULT,6,1779565279,25.792023,121.968923,345.3,51.3,216.3,0.9,12,4044,-78
G0703-FAULT,7,1779565339,25.78459,121.961536,202.4,59.1,221.8,0.9,12,4042,-78
G0703-FAULT,8,1779565399,25.778325,121.953436,183.3,62.5,229.3,0.9,12,4041,-78
G0703-FAULT,9,1779565459,25.77283,121.944865,184.4,52.7,234.6,0.9,12,4040,-78
G0703-FAULT,10,1779565519,25.767278,121.936329,195.4,55.2,234.2,0.9,12,4039,-78
G0703-FAULT,11,1779565579,25.76085,121.928329,214.1,76.6,228.3,0.9,12,4038,-78
G0703-FAULT,12,1779565639,25.753163,121.921097,239.3,67.4,220.3,0.9,12,4036,-78
G0703-FAULT,13,1779565699,25.744476,121.914476,237.8,56.9,214.5,0.9,12,4035,-78
G0703-FAULT,14,1779565759,25.735557,121.907996,301.5,65.1,213.2,0.9,12,4034,-78
G0703-FAULT,15,1779565819,25.727285,121.901121,274.5,57.4,216.8,0.9,12,4033,-78
G0703-FAULT,16,1779565879,25.720198,121.893523,324.5,61.5,224.0,0.9,12,4032,-78
G0703-FAULT,17,1779565939,25.714215,121.885251,199.5,59.1,231.2,0.9,12,4030,-78
G0703-FAULT,18,1779565999,25.708682,121.876703,228.5,59.6,234.3,0.9,12,4029,-78
G0703-FAULT,19,1779566059,25.73416839689373,121.85029679650245,159.0,52.6,231.4,4.8,4,4028,-78
G0703-FAULT,20,1779566119,25.722086563410123,121.84364589214803,153.2,64.1,224.4,4.8,4,4027,-78
G0703-FAULT,21,1779566179,25.687554,121.853828,350.9,53.9,217.5,0.9,12,4026,-78
G0703-FAULT,22,1779566239,25.678827,121.84723,195.0,67.5,214.3,0.9,12,4024,-78
G0703-FAULT,23,1779566299,25.670397,121.840451,264.3,50.4,215.9,0.9,12,4023,-78
G0703-FAULT,24,1779566359,25.663007,121.833037,278.9,74.6,222.1,0.9,12,4022,-78
G0703-FAULT,25,1779566419,25.656881,121.824853,210.5,71.1,230.3,0.9,12,4021,-78
G0703-FAULT,26,1779566479,25.651601,121.816152,299.5,67.3,236.1,0.9,12,4020,-78
G0703-FAULT,27,1779566539,25.646328,121.807447,238.3,63.9,236.1,0.9,12,4018,-78
G0703-FAULT,28,1779566599,25.640233,121.799243,251.0,74.7,230.5,0.9,12,4017,-78
G0703-FAULT,29,1779566659,25.632928,121.791778,126.1,50.5,222.7,0.9,12,4016,-78
G0703-FAULT,30,1779566719,25.624662,121.784899,180.3,57.8,216.9,0.9,12,4015,-78
G0703-FAULT,31,1779566779,25.61619,121.778145,282.1,79.7,215.7,0.9,12,4014,-78
G0703-FAULT,32,1779566839,25.608367,121.770996,237.9,71.1,219.5,0.9,12,4012,-78
G0703-FAULT,33,1779566899,25.602911,121.762486,133.7,48.9,234.6,0.9,12,4011,-78
G0703-FAULT,34,1779566959,25.596515,121.75455,153.2,62.6,228.2,0.9,12,4010,-78
G0703-FAULT,35,1779567019,25.588993,121.747299,269.1,67.1,221.0,0.9,12,4009,-78
G0703-FAULT,36,1779567079,25.580421,121.74069,232.9,48.4,214.8,0.9,12,4008,-78
G0703-FAULT,37,1779567139,25.571447,121.734326,219.6,81.7,212.6,0.9,12,4006,-78
G0703-FAULT,38,1779567199,25.562952,121.727669,328.2,62.9,215.3,0.9,12,4005,-78
G0703-FAULT,39,1779567259,25.555591,121.720321,193.7,56.4,222.0,0.9,12,4004,-78
G0703-FAULT,40,1779567319,25.549443,121.712233,220.6,64.6,229.9,0.9,12,4003,-78
G0703-FAULT,41,1779567379,25.54397,121.703734,216.9,52.2,234.5,0.9,12,4002,-78
G0703-FAULT,42,1779567439,25.538289,121.695362,152.7,71.9,233.1,0.9,12,4000,-78
G0703-FAULT,43,1779567499,25.531636,121.687583,298.0,64.1,226.5,0.9,12,3999,-78
G0703-FAULT,44,1779567559,25.523753,121.680553,299.7,80.4,218.8,0.9,12,3998,-78
G0703-FAULT,45,1779567619,25.515024,121.674039,229.3,61.9,214.0,0.9,12,3997,-78
G0703-FAULT,46,1779567679,25.528012035590443,121.65170794502887,123.6,79.0,213.8,4.8,4,3996,-78
G0703-FAULT,47,1779567739,25.498291,121.660568,140.1,57.2,218.3,0.9,12,3994,-78
G0703-FAULT,48,1779567799,25.491494,121.652876,281.9,60.4,225.6,0.9,12,3993,-78
G0703-FAULT,49,1779567859,25.485626,121.644619,251.5,70.7,231.8,0.9,12,3992,-78
G0703-FAULT,50,1779567919,25.479929,121.636257,302.7,61.4,233.0,0.9,12,3991,-78
G0703-FAULT,51,1779567979,25.473534,121.628321,148.0,57.2,228.2,0.9,12,3990,-78
G0703-FAULT,52,1779568039,25.465911,121.621132,220.9,70.4,220.4,0.9,12,3988,-78
G0703-FAULT,53,1779568099,25.457153,121.614635,300.6,54.0,213.8,0.9,12,3987,-78
G0703-FAULT,54,1779568159,25.447922,121.608426,254.1,63.0,211.3,0.9,12,3986,-78
G0703-FAULT,55,1779568219,25.439115,121.601959,253.7,64.9,213.5,0.9,12,3985,-78
G0703-FAULT,56,1779568279,25.431392,121.594831,339.0,70.7,219.8,0.9,12,3984,-78
G0703-FAULT,57,1779568339,25.424839,121.586991,178.9,59.4,227.2,0.9,12,3982,-78
G0703-FAULT,58,1779568399,25.418929,121.57876,169.3,52.8,231.5,0.9,12,3981,-78
G0703-FAULT,59,1779568459,25.412798,121.570662,138.7,81.9,230.0,0.9,12,3980,-78
G0703-FAULT,60,1779568519,25.40571,121.563148,261.1,70.2,223.8,0.9,12,3979,-78
G0703-FAULT,61,1779568579,25.397438,121.556355,110.5,58.5,216.6,0.9,12,3978,-78
G0703-FAULT,62,1779568639,25.388394,121.550031,203.0,56.1,212.3,0.9,12,3976,-78
G0703-FAULT,63,1779568699,25.379414,121.543669,225.1,79.8,212.6,0.9,12,3975,-78
G0703-FAULT,64,1779568759,25.37132,121.536767,202.4,57.4,217.6,0.9,12,3974,-78
G0703-FAULT,65,1779568819,25.364499,121.52909,305.0,65.9,225.5,0.9,12,3973,-78
G0703-FAULT,66,1779568879,25.358693,121.520795,290.4,56.0,232.2,0.9,12,3972,-78
G0703-FAULT,67,1779568939,25.355772,121.510818,259.4,81.3,252.0,0.9,12,3970,-78
G0703-FAULT,68,1779568999,25.347855,121.503881,177.6,57.8,218.4,0.9,12,3969,-78
G0703-FAULT,69,1779569059,25.338918,121.497565,145.9,67.4,212.6,0.9,12,3968,-78
G0703-FAULT,70,1779569119,25.329715,121.491411,147.4,52.4,211.2,0.9,12,3967,-78
G0703-FAULT,71,1779569179,25.321131,121.48488,270.8,75.5,214.5,0.9,12,3966,-78
G0703-FAULT,72,1779569239,25.313723,121.477633,271.9,73.3,221.5,0.9,12,3964,-78
G0703-FAULT,73,1779569299,25.307436,121.469704,197.5,68.5,228.7,0.9,12,3963,-78
G0703-FAULT,74,1779569359,25.301636,121.461479,212.9,54.0,232.0,0.9,12,3962,-78
G0703-FAULT,75,1779569419,25.295445,121.453492,163.2,62.0,229.4,0.9,12,3961,-78
G0703-FAULT,76,1779569479,25.288208,121.446141,207.5,58.2,222.6,0.9,12,3960,-78
G0703-FAULT,77,1779569539,25.279835,121.439482,142.3,61.5,215.7,0.9,12,3958,-78
G0703-FAULT,78,1779569599,25.270853,121.433192,234.6,49.3,212.3,0.9,12,3957,-78
G0703-FAULT,79,1779569659,25.262133,121.426744,227.9,68.4,213.8,0.9,12,3956,-78
G0703-FAULT,80,1779569719,25.25443,121.419676,274.9,54.9,219.7,0.9,12,3955,-78
G0703-FAULT,81,1779569779,25.247993,121.411839,182.2,71.2,227.8,0.9,12,3954,-78
G0703-FAULT,82,1779569839,25.242429,121.403471,147.3,63.6,233.7,0.9,12,3952,-78
G0703-FAULT,83,1779569899,25.236907,121.395078,126.0,79.6,234.0,0.9,12,3951,-78
G0703-FAULT,84,1779569959,25.230587,121.38717,283.7,52.5,228.5,0.9,12,3950,-78
G0703-FAULT,85,1779570019,25.223057,121.379997,292.9,61.7,220.8,0.9,12,3949,-78
G0703-FAULT,86,1779570079,25.214544,121.373422,255.1,78.6,214.9,0.9,12,3948,-78
G0703-FAULT,87,1779570139,25.205787,121.366995,327.3,77.6,213.6,0.9,12,3946,-78
G0703-FAULT,88,1779570199,25.197646,121.360194,153.4,78.4,217.1,0.9,12,3945,-78
G0703-FAULT,89,1779570259,25.190651,121.352696,163.0,59.7,224.1,0.9,12,3944,-78
G0703-FAULT,90,1779570319,25.184714,121.344556,171.9,62.1,231.1,0.9,12,3943,-78
G0703-FAULT,91,1779570379,25.179177,121.336172,217.7,76.8,233.9,0.9,12,3942,-78
G0703-FAULT,92,1779570439,25.17315,121.328086,195.9,69.7,230.5,0.9,12,3940,-78
G0703-FAULT,93,1779570499,25.160327,121.324401,306.0,60.6,194.6,0.9,12,3939,-78
G0703-FAULT,94,1779570559,25.154282,121.316596,245.3,74.6,229.4,0.9,12,3938,-78
G0703-FAULT,95,1779570619,25.148065,121.308897,147.4,79.8,228.3,0.9,12,3937,-78
G0703-FAULT,96,1779570679,25.140895,121.301777,246.9,74.8,222.0,0.9,12,3936,-78
G0703-FAULT,97,1779570739,25.132491,121.295406,281.7,60.4,214.5,0.9,12,3934,-78
G0703-FAULT,98,1779570799,25.123213,121.289567,258.0,76.7,209.7,0.9,12,3933,-78
G0703-FAULT,99,1779570859,25.113866,121.283769,298.7,60.1,209.3,0.9,12,3932,-78
G0703-FAULT,100,1779570919,25.105278,121.27751,286.4,54.2,213.4,0.9,12,3931,-78
G0703-FAULT,101,1779570979,25.097861,121.27054,323.1,58.2,220.4,0.9,12,3930,-78
G0703-FAULT,102,1779571039,25.091393,121.262993,208.1,57.2,226.6,0.9,12,3928,-78
G0703-FAULT,103,1779571099,25.085133,121.255321,289.4,75.6,228.0,0.9,12,3927,-78
G0703-FAULT,104,1779571159,25.078205,121.248054,236.9,63.3,223.5,0.9,12,3926,-78
G0703-FAULT,105,1779571219,25.070062,121.241525,304.9,56.1,216.0,0.9,12,3925,-78
G0703-FAULT,106,1779571279,25.060767,121.235695,275.7,51.7,209.6,0.9,12,3924,-78
G0703-FAULT,107,1779571339,25.050968,121.230171,163.0,79.6,207.1,0.9,12,3922,-78
G0703-FAULT,108,1779571399,25.04156,121.22441,194.4,52.2,209.0,0.9,12,3921,-78
G0703-FAULT,109,1779571459,25.033222,121.217999,220.0,69.9,214.9,0.9,12,3920,-78
G0703-FAULT,110,1779571519,25.026066,121.210871,117.0,76.5,222.1,0.9,12,3919,-78
G0703-FAULT,111,1779571579,25.019584,121.203333,120.1,55.6,226.5,0.9,12,3918,-78
G0703-FAULT,112,1779571639,25.01292,121.195906,124.7,75.7,225.3,0.9,12,3916,-78
G0703-FAULT,113,1779571699,25.005321,121.189047,154.3,70.9,219.3,0.9,12,3915,-78
G0703-FAULT,114,1779571759,24.996537,121.182906,297.1,58.8,212.4,0.9,12,3914,-78
G0703-FAULT,115,1779571819,24.986956,121.17725,241.5,48.3,208.2,0.9,12,3913,-78
G0703-FAULT,116,1779571879,24.977401,121.171577,287.7,67.4,208.3,0.9,12,3912,-78
G0703-FAULT,117,1779571939,24.974206,121.163221,187.2,42.5,247.1,0.9,12,3910,-78
G0703-FAULT,118,1779571999,24.965634,121.158126,264.1,50.4,208.3,0.9,12,3909,-78
G0703-FAULT,119,1779572059,24.957652,121.152675,134.1,71.0,211.8,0.9,12,3908,-78
G0703-FAULT,120,1779572119,24.950837,121.146515,241.4,64.0,219.3,0.9,12,3907,-78
G0703-FAULT,121,1779572179,24.94516,121.139664,212.4,46.4,227.6,0.9,12,3906,-78
G0703-FAULT,122,1779572239,24.940004,121.132498,146.3,44.6,231.6,0.9,12,3904,-78
G0703-FAULT,123,1779572299,24.934494,121.125546,133.1,56.1,228.8,0.9,12,3903,-78
G0703-FAULT,124,1779572359,24.927955,121.119219,129.8,63.7,221.3,0.9,12,3902,-78
G0703-FAULT,125,1779572419,24.920272,121.113585,280.0,42.5,213.6,0.9,12,3901,-78
G0703-FAULT,126,1779572479,24.91195,121.108339,138.9,68.1,209.8,0.9,12,3900,-78
G0703-FAULT,127,1779572539,24.903854,121.102956,242.9,65.6,211.1,0.9,12,3898,-78
G0703-FAULT,128,1779572599,24.896752,121.096969,272.4,60.1,217.4,0.9,12,3897,-78
G0703-FAULT,129,1779572659,24.890918,121.090215,294.6,50.4,226.4,0.9,12,3896,-78
G0703-FAULT,130,1779572719,24.885981,121.082916,171.2,52.2,233.3,0.9,12,3895,-78
G0703-FAULT,131,1779572779,24.881121,121.07557,137.0,65.2,233.9,0.9,12,3894,-78
G0703-FAULT,132,1779572839,24.875489,121.068693,269.9,49.9,227.9,0.9,12,3892,-78
G0703-FAULT,133,1779572899,24.86865,121.062548,310.9,58.2,219.2,0.9,12,3891,-78
G0703-FAULT,134,1779572959,24.860804,121.057013,180.5,68.3,212.6,0.9,12,3890,-78
G0703-FAULT,135,1779573019,24.852676,121.051649,182.2,45.6,210.9,0.9,12,3889,-78
G0703-FAULT,136,1779573079,24.845132,121.04593,229.9,52.9,214.5,0.9,12,3888,-78
G0703-FAULT,137,1779573139,24.838721,121.039525,161.4,66.9,222.2,0.9,12,3886,-78
G0703-FAULT,138,1779573199,24.833384,121.032469,108.7,64.1,230.2,0.9,12,3885,-78
G0703-FAULT,139,1779573259,24.828479,121.025152,303.5,43.2,233.5,0.9,12,3884,-78
G0703-FAULT,140,1779573319,24.823117,121.018111,268.6,54.7,230.0,0.9,12,3883,-78
G0703-FAULT,141,1779573379,24.81335,121.014064,111.3,60.0,200.6,0.9,12,3882,-78
G0703-FAULT,142,1779573439,24.808339,121.007134,88.6,66.5,231.5,0.9,12,3880,-78
G0703-FAULT,143,1779573499,24.802397,121.000768,168.1,64.0,224.2,0.9,12,3879,-78
G0703-FAULT,144,1779573559,24.795219,120.995152,172.0,71.0,215.4,0.9,12,3878,-78
G0703-FAULT,145,1779573619,24.787137,120.990083,136.4,45.5,209.7,0.9,12,3877,-78
G0703-FAULT,146,1779573679,24.77895,120.985078,168.6,60.2,209.0,0.9,12,3876,-78
G0703-FAULT,147,1779573739,24.771493,120.97963,112.6,66.2,213.6,0.9,12,3874,-78
G0703-FAULT,148,1779573799,24.765201,120.973477,205.4,51.4,221.6,0.9,12,3873,-78
G0703-FAULT,149,1779573859,24.759878,120.966736,242.6,70.8,229.0,0.9,12,3872,-78
G0703-FAULT,150,1779573919,24.754798,120.959849,142.3,65.7,230.9,0.9,12,3871,-78
G0703-FAULT,151,1779573979,24.749083,120.953347,150.4,46.1,225.9,0.9,12,3870,-78
G0703-FAULT,152,1779574039,24.742164,120.947573,156.1,66.2,217.2,0.9,12,3868,-78
G0703-FAULT,153,1779574099,24.734079,120.942505,90.7,48.3,209.7,0.9,12,3867,-78
G0703-FAULT,154,1779574159,24.725459,120.937762,86.3,48.8,206.6,0.9,12,3866,-78
G0703-FAULT,155,1779574219,24.717198,120.932801,192.2,52.2,208.6,0.9,12,3865,-78
G0703-FAULT,156,1779574279,24.70999,120.927202,100.2,57.8,215.2,0.9,12,3864,-78
G0703-FAULT,157,1779574339,24.703975,120.920881,182.4,56.7,223.7,0.9,12,3862,-78
G0703-FAULT,158,1779574399,24.698666,120.914133,151.6,55.1,229.1,0.9,12,3861,-78
G0703-FAULT,159,1779574459,24.693213,120.907472,210.9,57.0,228.0,0.9,12,3860,-78
G0703-FAULT,160,1779574519,24.686849,120.901362,111.3,60.3,221.1,0.9,12,3859,-78
G0703-FAULT,161,1779574579,24.6853,120.9023,28,0.0,151.2,0.8,13,3820,-68
