id,seq,timestamp,lat,lng,alt,speed_kmh,heading,hdop,satellites,battery_mv,rssi
G0703-HSR,1,1779504320,25.834788,122.014068,211.3,75.6,180.0,0.9,12,3950,-80
G0703-HSR,2,1779504380,25.811913,121.99854,237.5,66.2,180.0,0.9,12,3950,-80
G0703-HSR,3,1779504440,25.787512,121.98227,175.9,73.5,180.0,0.9,12,3950,-80
G0703-HSR,4,1779504500,25.764228,121.967603,198.4,73.1,180.0,0.9,12,3950,-80
G0703-HSR,5,1779504560,25.740788,121.951618,188.9,68.2,180.0,0.9,12,3950,-80
G0703-HSR,6,1779504620,25.71748,121.935875,187.8,75.5,180.0,0.9,12,3950,-80
G0703-HSR,7,1779504680,25.694929,121.919449,160.8,70.7,180.0,0.9,12,3950,-80
G0703-HSR,8,1779504740,25.671168,121.903044,166.1,76.2,180.0,0.9,12,3950,-80
G0703-HSR,9,1779504800,25.646416,121.888444,292.4,65.8,180.0,0.9,12,3950,-80
G0703-HSR,10,1779504860,25.622872,121.872926,249.2,75.5,180.0,0.9,12,3950,-80
G0703-HSR,11,1779504920,25.599578,121.85736,275.8,70.6,180.0,0.9,12,3950,-80
G0703-HSR,12,1779504980,25.577703,121.841137,181.7,67.5,180.0,0.9,12,3950,-80
G0703-HSR,13,1779505040,25.552956,121.825053,292.0,70.4,180.0,0.9,12,3950,-80
G0703-HSR,14,1779505100,25.529605,121.808761,253.0,67.0,180.0,0.9,12,3950,-80
G0703-HSR,15,1779505160,25.506875,121.793315,319.9,67.9,180.0,0.9,12,3950,-80
G0703-HSR,16,1779505220,25.483717,121.7773,237.2,69.7,180.0,0.9,12,3950,-80
G0703-HSR,17,1779505280,25.459493,121.762049,206.4,66.3,180.0,0.9,12,3950,-80
G0703-HSR,18,1779505340,25.436157,121.746833,245.9,66.4,180.0,0.9,12,3950,-80
G0703-HSR,19,1779505400,25.412063,121.729953,185.0,71.0,180.0,0.9,12,3950,-80
G0703-HSR,20,1779505460,25.389279,121.715079,212.4,72.3,180.0,0.9,12,3950,-80
G0703-HSR,21,1779505520,25.36548,121.699795,226.1,66.6,180.0,0.9,12,3950,-80
G0703-HSR,22,1779505580,25.341686,121.683928,180.3,70.0,180.0,0.9,12,3950,-80
G0703-HSR,23,1779505640,25.318619,121.668248,176.4,65.3,180.0,0.9,12,3950,-80
G0703-HSR,24,1779505700,25.294146,121.651303,167.1,68.7,180.0,0.9,12,3950,-80
G0703-HSR,25,1779505760,25.271614,121.636503,291.3,73.7,180.0,0.9,12,3950,-80
G0703-HSR,26,1779505820,25.247405,121.620058,291.2,71.7,180.0,0.9,12,3950,-80
G0703-HSR,27,1779505880,25.224575,121.604215,315.6,76.4,180.0,0.9,12,3950,-80
G0703-HSR,28,1779505940,25.201199,121.587723,240.6,74.6,180.0,0.9,12,3950,-80
G0703-HSR,29,1779506000,25.1771,121.572139,282.3,76.6,180.0,0.9,12,3950,-80
G0703-HSR,30,1779506060,25.153733,121.557605,316.0,70.8,180.0,0.9,12,3950,-80
G0703-HSR,31,1779506120,25.130249,121.54138,178.0,65.3,180.0,0.9,12,3950,-80
G0703-HSR,32,1779506180,25.107345,121.52584,220.0,77.7,180.0,0.9,12,3950,-80
G0703-HSR,33,1779506240,25.082673,121.509808,197.9,73.1,180.0,0.9,12,3950,-80
G0703-HSR,34,1779506300,25.060954,121.492934,248.4,70.7,180.0,0.9,12,3950,-80
G0703-HSR,35,1779506360,25.036001,121.478089,272.4,69.3,180.0,0.9,12,3950,-80
G0703-HSR,36,1779506420,25.0132,121.4624,55.0,271.9,180.0,0.7,15,3900,-95
G0703-HSR,37,1779506480,25.01318,121.43763,55.0,269.6,180.0,0.7,15,3900,-95
G0703-HSR,38,1779506540,25.01316,121.41286,55.0,253.1,180.0,0.7,15,3900,-95
G0703-HSR,39,1779506600,25.01314,121.38809,55.0,250.4,180.0,0.7,15,3900,-95
G0703-HSR,40,1779506660,25.01312,121.36332,55.0,282.9,180.0,0.7,15,3900,-95
G0703-HSR,41,1779506720,25.0131,121.33855,55.0,252.2,180.0,0.7,15,3900,-95
G0703-HSR,42,1779506780,25.01308,121.31378,55.0,275.8,180.0,0.7,15,3900,-95
G0703-HSR,43,1779506840,25.01306,121.28901,55.0,287.4,180.0,0.7,15,3900,-95
G0703-HSR,44,1779506900,25.01304,121.26424,55.0,289.7,180.0,0.7,15,3900,-95
G0703-HSR,45,1779506960,25.01302,121.23947,55.0,260.5,180.0,0.7,15,3900,-95
G0703-HSR,46,1779507020,25.013,121.2147,55.0,258.2,180.0,0.7,15,3900,-95
G0703-HSR,47,1779507080,24.99254,121.19725,55.0,253.7,180.0,0.7,15,3900,-95
G0703-HSR,48,1779507140,24.97208,121.1798,55.0,272.0,180.0,0.7,15,3900,-95
G0703-HSR,49,1779507200,24.95162,121.16235,55.0,264.4,180.0,0.7,15,3900,-95
G0703-HSR,50,1779507260,24.93116,121.1449,55.0,286.6,180.0,0.7,15,3900,-95
G0703-HSR,51,1779507320,24.9107,121.12745,55.0,252.0,180.0,0.7,15,3900,-95
G0703-HSR,52,1779507380,24.89024,121.11,55.0,251.6,180.0,0.7,15,3900,-95
G0703-HSR,53,1779507440,24.86978,121.09255,55.0,285.0,180.0,0.7,15,3900,-95
G0703-HSR,54,1779507500,24.84932,121.0751,55.0,278.6,180.0,0.7,15,3900,-95
G0703-HSR,55,1779507560,24.82886,121.05765,55.0,253.2,180.0,0.7,15,3900,-95
G0703-HSR,56,1779507620,24.8084,121.0402,55.0,245.1,180.0,0.7,15,3900,-95
G0703-HSR,57,1779507680,24.78771,121.0187,55.0,270.3,180.0,0.7,15,3900,-95
G0703-HSR,58,1779507740,24.76702,120.9972,55.0,293.5,180.0,0.7,15,3900,-95
G0703-HSR,59,1779507800,24.74633,120.9757,55.0,280.7,180.0,0.7,15,3900,-95
G0703-HSR,60,1779507860,24.72564,120.9542,55.0,269.7,180.0,0.7,15,3900,-95
G0703-HSR,61,1779507920,24.70495,120.9327,55.0,272.5,180.0,0.7,15,3900,-95
G0703-HSR,62,1779507980,24.68426,120.9112,55.0,241.8,180.0,0.7,15,3900,-95
G0703-HSR,63,1779508040,24.66357,120.8897,55.0,250.0,180.0,0.7,15,3900,-95
G0703-HSR,64,1779508100,24.64288,120.8682,55.0,247.9,180.0,0.7,15,3900,-95
G0703-HSR,65,1779508160,24.62219,120.8467,55.0,270.2,180.0,0.7,15,3900,-95
G0703-HSR,66,1779508220,24.601315,120.825912,55.0,55.2,180.0,0.9,12,3850,-85
G0703-HSR,67,1779508280,24.606249,120.831111,70.0,55.4,180.0,0.9,12,3850,-85
G0703-HSR,68,1779508340,24.61236,120.835396,85.0,58.9,180.0,0.9,12,3850,-85
G0703-HSR,69,1779508400,24.617784,120.840916,100.0,56.4,180.0,0.9,12,3850,-85
G0703-HSR,70,1779508460,24.623041,120.845659,115.0,55.5,180.0,0.9,12,3850,-85
G0703-HSR,71,1779508520,24.62924,120.85149,130.0,62.6,180.0,0.9,12,3850,-85
G0703-HSR,72,1779508580,24.634689,120.855573,145.0,60.9,180.0,0.9,12,3850,-85
G0703-HSR,73,1779508640,24.641342,120.861696,135.0,55.6,180.0,0.9,12,3850,-85
G0703-HSR,74,1779508700,24.647006,120.865642,125.0,55.3,180.0,0.9,12,3850,-85
G0703-HSR,75,1779508760,24.650977,120.872454,115.0,63.8,180.0,0.9,12,3850,-85
G0703-HSR,76,1779508820,24.656645,120.876604,105.0,59.3,180.0,0.9,12,3850,-85
G0703-HSR,77,1779508880,24.662979,120.882624,95.0,66.6,180.0,0.9,12,3850,-85
G0703-HSR,78,1779508940,24.669311,120.886896,85.0,60.1,180.0,0.9,12,3850,-85
G0703-HSR,79,1779509000,24.673264,120.892596,75.0,63.8,180.0,0.9,12,3850,-85
G0703-HSR,80,1779509060,24.679623,120.897412,65.0,56.9,180.0,0.9,12,3850,-85
G0703-HSR,81,1779509120,24.6853,120.9023,20.0,0.0,180.0,0.9,12,3850,-85
