seq,timestamp,lat,lng,alt,speed_kmh,heading,hdop,satellites,battery_mv,rssi
1,1779485276,25.148295,121.747525,174.2,69.1,172.0,0.9,12,3950,-85
2,1779485456,25.144187,121.741542,179.5,67.7,175.7,0.9,12,3950,-85
3,1779485636,25.143363,121.735912,337.9,78.6,181.1,0.9,12,3950,-85
4,1779485816,25.134979,121.725461,226.0,68.7,178.3,0.9,12,3950,-85
5,1779485996,25.130779,121.716155,162.2,71.3,180.9,0.9,12,3950,-85
6,1779486176,25.128323,121.70903,282.7,76.5,182.7,0.9,12,3950,-85
7,1779486356,25.123847,121.698233,347.4,78.6,181.8,0.9,12,3950,-85
8,1779486536,25.116752,121.688582,215.2,67.2,186.0,0.9,12,3950,-85
9,1779486716,25.111688,121.680305,269.9,65.4,189.7,0.9,12,3950,-85
10,1779486896,25.10804,121.676447,182.7,68.1,177.3,0.9,12,3950,-85
11,1779487076,25.104616,121.662784,278.1,74.1,173.0,0.9,12,3950,-85
12,1779487256,25.101085,121.654136,287.9,74.7,175.9,0.9,12,3950,-85
13,1779487436,25.096152,121.646577,326.9,69.9,172.9,0.9,12,3950,-85
14,1779487616,25.087063,121.640726,316.7,67.7,182.1,0.9,12,3950,-85
15,1779487796,25.084768,121.634131,279.2,77.6,184.3,0.9,12,3950,-85
16,1779487976,25.078944,121.622755,282.4,72.2,176.7,0.9,12,3950,-85
17,1779488156,25.077579,121.614724,188.8,66.6,176.5,0.9,12,3950,-85
18,1779488336,25.072358,121.607648,156.4,76.2,182.1,0.9,12,3950,-85
19,1779488516,25.068966,121.596619,348.2,65.3,174.1,0.9,12,3950,-85
20,1779488696,25.062798,121.587146,275.9,65.5,184.7,0.9,12,3950,-85
21,1779488876,25.055034,121.579217,251.9,70.4,178.3,0.9,12,3950,-85
22,1779489056,25.05401,121.574981,157.9,67.1,175.6,0.9,12,3950,-85
23,1779489236,25.047353,121.562633,173.2,78.3,172.9,0.9,12,3950,-85
24,1779489416,25.041242,121.556021,169.1,71.0,181.4,0.9,12,3950,-85
25,1779489596,25.040929,121.543759,215.5,73.9,189.1,0.9,12,3950,-85
26,1779489776,25.036678,121.54008,298.6,76.6,172.5,0.9,12,3950,-85
27,1779489956,25.028119,121.530524,297.9,78.1,176.1,0.9,12,3950,-85
28,1779490136,25.021938,121.521663,302.7,76.7,188.4,0.9,12,3950,-85
29,1779490316,25.018931,121.512436,323.1,74.4,176.1,0.9,12,3950,-85
30,1779490496,25.017135,121.505034,241.0,74.3,176.4,0.9,12,3950,-85
31,1779490676,25.012644,121.497121,283.5,78.9,178.5,0.9,12,3950,-85
32,1779490856,25.004757,121.48668,338.6,74.6,190.0,0.9,12,3950,-85
33,1779491036,25.003661,121.476151,252.1,66.5,185.1,0.9,12,3950,-85
34,1779491216,24.9982,121.471888,180.6,71.9,185.8,0.9,12,3950,-85
35,1779491396,24.989904,121.459871,303.7,73.7,181.0,0.9,12,3950,-85
36,1779491576,24.987179,121.45454,330.6,79.8,183.1,0.9,12,3950,-85
37,1779491756,24.985127,121.443607,176.0,78.8,178.2,0.9,12,3950,-85
38,1779491936,24.97957,121.439286,297.4,73.5,189.9,0.9,12,3950,-85
39,1779492116,24.970801,121.429584,191.9,71.9,185.7,0.9,12,3950,-85
40,1779492296,24.966723,121.417088,284.9,70.6,189.7,0.9,12,3950,-85
41,1779492476,24.964486,121.413604,259.0,73.1,175.1,0.9,12,3950,-85
42,1779492656,24.960912,121.404597,295.4,77.4,182.9,0.9,12,3950,-85
43,1779492836,24.952645,121.393732,237.3,67.4,178.7,0.9,12,3950,-85
44,1779493016,24.951374,121.382722,330.3,79.3,176.9,0.9,12,3950,-85
45,1779493196,24.942878,121.379489,235.7,71.5,189.3,0.9,12,3950,-85
46,1779493376,24.942668,121.370148,156.3,71.2,186.5,0.9,12,3950,-85
47,1779493556,24.93822,121.358854,250.3,72.1,172.3,0.9,12,3950,-85
48,1779493736,24.93084,121.352898,182.4,72.4,187.4,0.9,12,3950,-85
49,1779493916,24.929224,121.344932,280.3,78.3,184.8,0.9,12,3950,-85
50,1779494096,24.92083,121.335522,266.1,72.0,187.7,0.9,12,3950,-85
51,1779494276,24.915997,121.3237,180.1,68.3,183.7,0.9,12,3950,-85
52,1779494456,24.913536,121.314848,163.6,72.9,175.0,0.9,12,3950,-85
53,1779494636,24.909391,121.310919,348.0,70.3,174.8,0.9,12,3950,-85
54,1779494816,24.901439,121.302241,213.0,74.3,172.7,0.9,12,3950,-85
55,1779494996,24.899082,121.293761,154.0,68.7,176.5,0.9,12,3950,-85
56,1779495176,24.892794,121.286317,271.5,78.8,183.6,0.9,12,3950,-85
57,1779495356,24.892333,121.277488,268.9,65.9,176.5,0.9,12,3950,-85
58,1779495536,24.884357,121.266724,313.6,72.3,189.5,0.9,12,3950,-85
59,1779495716,24.88019,121.257003,222.7,69.1,176.2,0.9,12,3950,-85
60,1779495896,24.875793,121.251591,320.9,76.3,183.0,0.9,12,3950,-85
61,1779496076,24.873986,121.243901,187.0,67.6,171.2,0.9,12,3950,-85
62,1779496256,24.864192,121.230754,286.9,65.2,175.1,0.9,12,3950,-85
63,1779496436,24.858975,121.224657,189.1,78.8,172.2,0.9,12,3950,-85
64,1779496616,24.858096,121.218818,167.4,75.8,185.1,0.9,12,3950,-85
65,1779496796,24.851178,121.207532,240.6,69.9,184.3,0.9,12,3950,-85
66,1779496976,24.847864,121.201408,332.0,79.7,187.9,0.9,12,3950,-85
67,1779497156,24.843018,121.18782,228.8,79.7,187.3,0.9,12,3950,-85
68,1779497336,24.837002,121.179337,256.8,68.3,182.7,0.9,12,3950,-85
69,1779497516,24.836776,121.175454,304.2,73.3,175.8,0.9,12,3950,-85
70,1779497696,24.827727,121.166805,177.0,78.8,179.2,0.9,12,3950,-85
71,1779497876,24.823027,121.157324,345.4,70.4,185.5,0.9,12,3950,-85
72,1779498056,24.821624,121.145794,156.3,66.1,179.6,0.9,12,3950,-85
73,1779498236,24.81505,121.138898,280.8,76.5,181.4,0.9,12,3950,-85
74,1779498416,24.812505,121.129674,308.9,66.5,186.3,0.9,12,3950,-85
75,1779498596,24.806243,121.12084,169.4,74.4,175.5,0.9,12,3950,-85
76,1779498776,24.80297,121.112086,205.3,71.6,185.7,0.9,12,3950,-85
77,1779498956,24.794719,121.103796,176.1,79.1,177.3,0.9,12,3950,-85
78,1779499136,24.792774,121.094468,267.4,73.4,182.1,0.9,12,3950,-85
79,1779499316,24.788894,121.088854,233.9,71.8,188.4,0.9,12,3950,-85
80,1779499496,24.785223,121.080482,303.2,70.9,181.8,0.9,12,3950,-85
81,1779499676,24.776807,121.071914,294.6,65.1,178.3,0.9,12,3950,-85
82,1779499856,24.770924,121.064715,242.9,74.8,174.9,0.9,12,3950,-85
83,1779500036,24.768595,121.053354,328.7,65.1,179.4,0.9,12,3950,-85
84,1779500216,24.764748,121.044299,301.4,67.4,190.0,0.9,12,3950,-85
85,1779500396,24.761528,121.04061,249.5,70.5,183.2,0.9,12,3950,-85
86,1779500576,24.756017,121.028217,189.6,73.9,178.4,0.9,12,3950,-85
87,1779500756,24.750709,121.022802,160.8,69.4,174.4,0.9,12,3950,-85
88,1779500936,24.746422,121.013781,255.5,76.2,190.0,0.9,12,3950,-85
89,1779501116,24.740159,121.002064,332.7,67.5,177.6,0.9,12,3950,-85
90,1779501296,24.73721,120.99695,159.1,69.8,178.2,0.9,12,3950,-85
91,1779501476,24.734358,120.985143,154.0,68.5,182.6,0.9,12,3950,-85
92,1779501656,24.729697,120.980969,154.2,77.0,181.3,0.9,12,3950,-85
93,1779501836,24.725302,120.971766,242.8,70.5,178.4,0.9,12,3950,-85
94,1779502016,24.715501,120.962685,311.4,75.6,187.0,0.9,12,3950,-85
95,1779502196,24.713213,120.952488,253.8,73.6,183.1,0.9,12,3950,-85
96,1779502376,24.707458,120.945944,205.5,74.5,186.1,0.9,12,3950,-85
97,1779502556,24.702973,120.936331,239.7,79.4,180.1,0.9,12,3950,-85
98,1779502736,24.698118,120.925494,316.1,73.6,170.6,0.9,12,3950,-85
99,1779502916,24.695472,120.922075,189.9,70.5,175.4,0.9,12,3950,-85
100,1779503096,24.690995,120.911879,328.9,67.4,188.5,0.9,12,3950,-85
101,1779503276,24.68381,120.899807,290.2,65.7,178.0,0.9,12,3950,-85
