id,seq,timestamp,lat,lng,alt,speed_kmh,heading,hdop,satellites,battery_mv,rssi
G0703-NET,1,1779564979,25.830293,122.006428,286.5,55.0,220.0,0.9,12,4050,-78
G0703-NET,2,1779565039,25.821634,122.001037,185.8,74.2,209.3,0.9,12,4048,-78
G0703-NET,3,1779565099,25.812577,121.995888,273.4,77.4,207.1,0.9,12,4047,-78
G0703-NET,4,1779565159,25.803906,121.990504,161.3,69.1,209.2,0.9,12,4046,-78
G0703-NET,5,1779565219,25.796182,121.98454,272.7,62.3,214.8,0.9,12,4045,-78
G0703-NET,6,1779565279,25.789451,121.977971,306.0,77.4,221.3,0.9,12,4044,-78
G0703-NET,7,1779565339,25.783221,121.971095,226.8,58.4,224.8,0.9,12,4042,-78
G0703-NET,8,1779565399,25.776726,121.964381,300.2,75.5,222.9,0.9,12,4041,-78
G0703-NET,9,1779565459,25.769325,121.958221,309.1,52.8,216.9,0.9,12,4040,-78
G0703-NET,10,1779565519,25.760846,121.952718,182.8,55.5,210.3,0.9,12,4039,-78
G0703-NET,11,1779565579,25.75168,121.947636,167.0,63.4,206.5,0.9,12,4038,-78
G0703-NET,12,1779565639,25.742579,121.942514,227.8,69.3,206.9,0.9,12,4036,-78
G0703-NET,13,1779565699,25.734268,121.936909,316.3,48.1,211.3,0.9,12,4035,-78
G0703-NET,14,1779565759,25.727073,121.930623,327.4,63.6,218.2,0.9,12,4034,-78
G0703-NET,15,1779565819,25.720748,121.923805,323.0,70.2,224.2,0.9,12,4033,-78
G0703-NET,16,1779565879,25.714613,121.916871,323.3,74.8,225.5,0.9,12,4032,-78
G0703-NET,17,1779565939,25.707908,121.910286,333.9,56.6,221.5,0.9,12,4030,-78
G0703-NET,18,1779565999,25.700191,121.904319,333.7,65.3,214.9,0.9,12,4029,-78
G0703-NET,19,1779566059,25.691573,121.898901,331.5,66.7,209.5,0.9,12,4028,-78
G0703-NET,20,1779566119,25.682654,121.893667,214.3,65.3,207.9,0.9,12,4027,-78
G0703-NET,21,1779566179,25.674211,121.888143,320.1,72.8,210.5,0.9,12,4026,-78
G0703-NET,22,1779566239,25.666788,121.881996,180.5,55.0,216.7,0.9,12,4024,-78
